sample.yr	plot	subplot	Snr	d.msrd	year	direction	radius	wid.e	wid.l	wg	wg.mn	wg.mx	wg.e	wg.l
2024	3	4	3	190.5	2011		0.889							
2024	3	4	3	190.5	2010		0.762							
2024	3	4	3	190.5	2009		0.868							
2024	3	4	3	190.5	2008		0.910							
2024	3	4	3	190.5	2007		1.101							
2024	3	4	3	190.5	2006		0.846							
2024	3	4	3	190.5	2005		1.080							
2024	3	4	3	190.5	2004		0.973							
2024	3	4	3	190.5	2003		0.593							
2024	3	4	3	190.5	2002		0.889							
2024	3	4	3	190.5	2001		0.614							
2024	3	4	1	145.5	2024		0.620							
2024	3	4	1	145.5	2023		0.492							
2024	3	4	1	145.5	2022		0.630							
2024	3	4	1	145.5	2021		0.514							
2024	3	4	1	145.5	2020		0.424							
2024	3	4	1	145.5	2019		0.423							
2024	3	4	1	145.5	2018		0.439							
2024	3	4	1	145.5	2017		0.656							
2024	3	4	1	145.5	2016		0.847							
2024	3	4	1	145.5	2015		0.741							
2024	3	4	1	145.5	2014		0.620							
2024	3	4	1	145.5	2013		0.466							
2024	3	4	1	145.5	2012		0.435							
2024	3	4	1	145.5	2011		0.613							
2024	3	4	1	145.5	2010		0.571							
2024	3	4	1	145.5	2009		0.660							
2024	3	4	1	145.5	2008		0.643							
2024	3	4	1	145.5	2007		0.720							
2024	3	4	1	145.5	2006		0.784							
2024	3	4	1	145.5	2005		1.071							
2024	3	4	1	145.5	2004		0.889							
2024	3	4	1	145.5	2003		0.665							
2024	3	4	1	145.5	2002		0.646							
2024	3	4	1	145.5	2001		0.722							
2024	3	4	2	168.5	2024		0.190							
2024	3	4	2	168.5	2023		0.275							
2024	3	4	2	168.5	2022		0.159							
2024	3	4	2	168.5	2021		0.148							
2024	3	4	2	168.5	2020		0.123							
2024	3	4	2	168.5	2019		0.084							
2024	3	4	2	168.5	2018		0.105							
2024	3	4	2	168.5	2017		0.131							
2024	3	4	2	168.5	2016		0.213							
2024	3	4	2	168.5	2015		0.349							
2024	3	4	2	168.5	2014		0.212							
2024	3	4	2	168.5	2013		0.159							
2024	3	4	2	168.5	2012		0.360							
2024	3	4	2	168.5	2011		0.434							
2024	3	4	2	168.5	2010		0.403							
2024	3	4	2	168.5	2009		0.370							
