plot	Snr	d.underbark	variable	value	year
3	32	0.127163	X2005	0.787	2005
3	33	0.163569	X2005	0.903	2005
3	34	0.215256	X2005	1.244	2005
3	35	0.17076	X2005	0.863	2005
3	36	0.180199	X2005	1.078	2005
2	1	0.106937	X2004	0.47	2004
2	2	0.2202	X2004	1.582	2004
2	3	0.159074	X2004	1.674	2004
2	4	0.186491	X2004	1.479	2004
2	5	0.218403	X2004	1.142	2004
2	6	0.193233	X2004	1.395	2004
2	7	0.125814	X2004	1.102	2004
2	8	0.209863	X2004	1.458	2004
2	9	0.141096	X2004	0.953	2004
2	10	0.226043	X2004	1.608	2004
2	11	0.155928	X2004	1.107	2004
2	12	0.193682	X2004	1.861	2004
2	13	0.166266	X2004	1.186	2004
2	14	0.110982	X2004	1.142	2004
2	15	0.20402	X2004	0.9	2004
2	16	0.226942	X2004	1.353	2004
2	17	0.194581	X2004	1.404	2004
2	18	0.15413	X2004	0.577	2004
3	19	0.0966	X2004	0.671	2004
3	20	0.161322	X2004	0.963	2004
3	21	0.213459	X2004	1.44	2004
3	22	0.194132	X2004	1.272	2004
3	23	0.191435	X2004	1.003	2004
3	24	0.255258	X2004	1.348	2004
3	25	0.161771	X2004	0.736	2004
3	26	0.130758	X2004	0.646	2004
3	27	0.223796	X2004	1.779	2004
3	28	0.186042	X2004	1.647	2004
3	29	0.232785	X2004	1.414	2004
3	30	0.181098	X2004	1.113	2004
3	31	0.213009	X2004	1.017	2004
3	32	0.127163	X2004	1.099	2004
3	33	0.163569	X2004	1.189	2004
3	34	0.215256	X2004	1.553	2004
3	35	0.17076	X2004	1.435	2004
3	36	0.180199	X2004	1.304	2004
2	1	0.106937	X2003	0.467	2003
2	2	0.2202	X2003	1.568	2003
2	3	0.159074	X2003	1.823	2003
2	4	0.186491	X2003	1.608	2003
2	5	0.218403	X2003	1.274	2003
2	6	0.193233	X2003	1.525	2003
2	7	0.125814	X2003	1.017	2003
2	8	0.209863	X2003	1.525	2003
2	9	0.141096	X2003	1.08	2003
2	10	0.226043	X2003	1.623	2003
2	11	0.155928	X2003	1.412	2003
2	12	0.193682	X2003	2.324	2003
2	13	0.166266	X2003	1.588	2003
2	14	0.110982	X2003	1.419	2003
2	15	0.20402	X2003	0.763	2003
2	16	0.226942	X2003	1.271	2003
2	17	0.194581	X2003	1.482	2003
2	18	0.15413	X2003	0.591	2003
3	19	0.0966	X2003	0.584	2003
3	20	0.161322	X2003	0.847	2003
3	21	0.213459	X2003	1.525	2003
3	22	0.194132	X2003	1.356	2003
3	23	0.191435	X2003	0.932	2003
3	24	0.255258	X2003	1.36	2003
3	25	0.161771	X2003	0.67	2003
