plot	repID	d.cm	RingCount	PathLength	variable	value	radius	year
C	2	25.7	58	65.2647	X1997	1.877	1.877	1997
C	3	14	58	44.6249	X1997	1.228	1.228	1997
C	3	23.5	49	66.7462	X1997	1.736	1.736	1997
C	3	25.5	55	67.2356	X1997	1.164	1.164	1997
C	57	18.1	55	42.9563	X1997	0.55	0.55	1997
E	54	17.2	58	63.5423	X1997	0.613	0.613	1997
E	56	17.8	60	56.3447	X1997	0.483	0.483	1997
E	80	25.5	37	60.8427	X1997	0.867	0.867	1997
E	82	26.1	47	65.3303	X1997	0.801	0.801	1997
E	88	28	49	60.0893	X1997	0.804	0.804	1997
F	1	12.3	64	45.7905	X1997	0.263	0.263	1997
F	1	18.2	50	65.5565	X1997	0.655	0.655	1997
F	1	30.3	34	79.375	X1997	1.1	1.1	1997
F	2	16	55	47.6059	X1997	0.603	0.603	1997
F	2	18.5	58	53.1488	X1997	0.571	0.571	1997
F	2	28	49	61.2615	X1997	0.723	0.723	1997
F	3	16.7	68	69.5974	X1997	0.677	0.677	1997
F	3	20.2	50	64.7459	X1997	0.764	0.764	1997
F	3	25.5	51	78.7512	X1997	0.802	0.802	1997
N	3	19	49	55.0077	X1997	1.286	1.286	1997
N	35	11.1	57	46.5744	X1997	0.473	0.473	1997
N	110	35	141	75.2227	X1997	0.307	0.307	1997
S	40	12.7	48	35.4506	X1997	0.828	0.828	1997
S	46	14.6	56	52.6239	X1997	0.406	0.406	1997
S	80	25.5	61	59.3595	X1997	0.845	0.845	1997
S	82	26.1	48	47.6494	X1997	0.371	0.371	1997
W	1	12.3	70	48.3875	X1997	0.359	0.359	1997
W	2	14.5	58	48.1658	X1997	0.656	0.656	1997
W	3	25.5	45	67.6176	X1997	1.005	1.005	1997
C	1	14	55	40.692	X1998	0.996	0.996	1998
C	1	20.7	51	54.9881	X1998	1	1	1998
C	1	27.2	55	83.3176	X1998	1.122	1.122	1998
C	2	10.6	54	38.1425	X1998	0.951	0.951	1998
C	2	14.7	56	51.6265	X1998	1.079	1.079	1998
C	2	25.7	58	65.2647	X1998	1.557	1.557	1998
C	3	14	58	44.6249	X1998	0.804	0.804	1998
C	3	23.5	49	66.7462	X1998	1.379	1.379	1998
C	3	25.5	55	67.2356	X1998	0.931	0.931	1998
C	57	18.1	55	42.9563	X1998	0.487	0.487	1998
E	54	17.2	58	63.5423	X1998	0.517	0.517	1998
E	56	17.8	60	56.3447	X1998	0.427	0.427	1998
E	80	25.5	37	60.8427	X1998	1.036	1.036	1998
E	82	26.1	47	65.3303	X1998	0.907	0.907	1998
E	88	28	49	60.0893	X1998	0.72	0.72	1998
F	1	12.3	64	45.7905	X1998	0.317	0.317	1998
F	1	18.2	50	65.5565	X1998	0.55	0.55	1998
F	1	30.3	34	79.375	X1998	1.269	1.269	1998
F	2	16	55	47.6059	X1998	0.521	0.521	1998
F	2	18.5	58	53.1488	X1998	0.691	0.691	1998
F	2	28	49	61.2615	X1998	0.804	0.804	1998
F	3	16.7	68	69.5974	X1998	0.889	0.889	1998
F	3	20.2	50	64.7459	X1998	1.001	1.001	1998
F	3	25.5	51	78.7512	X1998	1.044	1.044	1998
N	3	19	49	55.0077	X1998	1.182	1.182	1998
N	35	11.1	57	46.5744	X1998	0.404	0.404	1998
N	110	35	141	75.2227	X1998	0.222	0.222	1998
S	40	12.7	48	35.4506	X1998	0.611	0.611	1998
S	46	14.6	56	52.6239	X1998	0.505	0.505	1998
S	80	25.5	61	59.3595	X1998	0.782	0.782	1998
S	82	26.1	48	47.6494	X1998	0.739	0.739	1998
W	1	12.3	70	48.3875	X1998	0.465	0.465	1998
W	2	14.5	58	48.1658	X1998	1.079	1.079	1998
W	3	25.5	45	67.6176	X1998	1.316	1.316	1998
C	1	14	55	40.692	X1999	0.8	0.8	1999
C	1	20.7	51	54.9881	X1999	1.004	1.004	1999
C	1	27.2	55	83.3176	X1999	1.427	1.427	1999
C	2	10.6	54	38.1425	X1999	0.995	0.995	1999
C	2	14.7	56	51.6265	X1999	1.185	1.185	1999
C	2	25.7	58	65.2647	X1999	1.417	1.417	1999
C	3	14	58	44.6249	X1999	0.868	0.868	1999
C	3	23.5	49	66.7462	X1999	1.324	1.324	1999
C	3	25.5	55	67.2356	X1999	0.931	0.931	1999
C	57	18.1	55	42.9563	X1999	0.677	0.677	1999
E	54	17.2	58	63.5423	X1999	0.688	0.688	1999
E	56	17.8	60	56.3447	X1999	0.472	0.472	1999
E	80	25.5	37	60.8427	X1999	1.523	1.523	1999
E	82	26.1	47	65.3303	X1999	1.375	1.375	1999
E	88	28	49	60.0893	X1999	0.973	0.973	1999
F	1	12.3	64	45.7905	X1999	0.381	0.381	1999
F	1	18.2	50	65.5565	X1999	0.783	0.783	1999
F	1	30.3	34	79.375	X1999	1.46	1.46	1999
F	2	16	55	47.6059	X1999	0.686	0.686	1999
F	2	18.5	58	53.1488	X1999	0.786	0.786	1999
F	2	28	49	61.2615	X1999	0.766	0.766	1999
F	3	16.7	68	69.5974	X1999	0.995	0.995	1999
F	3	20.2	50	64.7459	X1999	1.068	1.068	1999
F	3	25.5	51	78.7512	X1999	1.164	1.164	1999
N	3	19	49	55.0077	X1999	1.33	1.33	1999
N	35	11.1	57	46.5744	X1999	0.439	0.439	1999
N	110	35	141	75.2227	X1999	0.306	0.306	1999
S	40	12.7	48	35.4506	X1999	0.614	0.614	1999
S	46	14.6	56	52.6239	X1999	0.533	0.533	1999
S	80	25.5	61	59.3595	X1999	1.121	1.121	1999
S	82	26.1	48	47.6494	X1999	0.634	0.634	1999
W	1	12.3	70	48.3875	X1999	0.614	0.614	1999
W	2	14.5	58	48.1658	X1999	1.333	1.333	1999
W	3	25.5	45	67.6176	X1999	1.596	1.596	1999
C	1	14	55	40.692	X2000	0.571	0.571	2000
C	1	20.7	51	54.9881	X2000	0.94	0.94	2000
C	1	27.2	55	83.3176	X2000	1.15	1.15	2000
C	2	10.6	54	38.1425	X2000	0.76	0.76	2000
C	2	14.7	56	51.6265	X2000	0.91	0.91	2000
C	2	25.7	58	65.2647	X2000	1.227	1.227	2000
C	3	14	58	44.6249	X2000	0.995	0.995	2000
C	3	23.5	49	66.7462	X2000	1.239	1.239	2000
C	3	25.5	55	67.2356	X2000	0.846	0.846	2000
C	57	18.1	55	42.9563	X2000	0.846	0.846	2000
E	54	17.2	58	63.5423	X2000	0.84	0.84	2000
E	56	17.8	60	56.3447	X2000	0.549	0.549	2000
E	80	25.5	37	60.8427	X2000	1.29	1.29	2000
E	82	26.1	47	65.3303	X2000	1.524	1.524	2000
E	88	28	49	60.0893	X2000	1.248	1.248	2000
F	1	12.3	64	45.7905	X2000	0.508	0.508	2000
F	1	18.2	50	65.5565	X2000	0.825	0.825	2000
F	1	30.3	34	79.375	X2000	1.65	1.65	2000
F	2	16	55	47.6059	X2000	0.567	0.567	2000
F	2	18.5	58	53.1488	X2000	0.953	0.953	2000
F	2	28	49	61.2615	X2000	0.741	0.741	2000
F	3	16.7	68	69.5974	X2000	0.995	0.995	2000
F	3	20.2	50	64.7459	X2000	1.279	1.279	2000
F	3	25.5	51	78.7512	X2000	1.035	1.035	2000
N	3	19	49	55.0077	X2000	1.435	1.435	2000
N	35	11.1	57	46.5744	X2000	0.334	0.334	2000
N	110	35	141	75.2227	X2000	0.191	0.191	2000
S	40	12.7	48	35.4506	X2000	0.55	0.55	2000
S	46	14.6	56	52.6239	X2000	0.65	0.65	2000
S	80	25.5	61	59.3595	X2000	0.973	0.973	2000
S	82	26.1	48	47.6494	X2000	0.847	0.847	2000
W	1	12.3	70	48.3875	X2000	0.963	0.963	2000
W	2	14.5	58	48.1658	X2000	1.482	1.482	2000
W	3	25.5	45	67.6176	X2000	1.801	1.801	2000
C	1	14	55	40.692	X2001	0.343	0.343	2001
C	1	20.7	51	54.9881	X2001	0.958	0.958	2001
C	1	27.2	55	83.3176	X2001	1.604	1.604	2001
C	2	10.6	54	38.1425	X2001	0.592	0.592	2001
C	2	14.7	56	51.6265	X2001	0.847	0.847	2001
C	2	25.7	58	65.2647	X2001	1.312	1.312	2001
C	3	14	58	44.6249	X2001	0.931	0.931	2001
C	3	23.5	49	66.7462	X2001	1.064	1.064	2001
C	3	25.5	55	67.2356	X2001	0.684	0.684	2001
C	57	18.1	55	42.9563	X2001	1.058	1.058	2001
E	54	17.2	58	63.5423	X2001	0.968	0.968	2001
E	56	17.8	60	56.3447	X2001	0.466	0.466	2001
E	80	25.5	37	60.8427	X2001	1.586	1.586	2001
E	82	26.1	47	65.3303	X2001	1.672	1.672	2001
E	88	28	49	60.0893	X2001	1.247	1.247	2001
F	1	12.3	64	45.7905	X2001	0.531	0.531	2001
F	1	18.2	50	65.5565	X2001	0.867	0.867	2001
F	1	30.3	34	79.375	X2001	1.312	1.312	2001
F	2	16	55	47.6059	X2001	0.585	0.585	2001
F	2	18.5	58	53.1488	X2001	0.804	0.804	2001
F	2	28	49	61.2615	X2001	0.913	0.913	2001
F	3	16.7	68	69.5974	X2001	1.312	1.312	2001
F	3	20.2	50	64.7459	X2001	1.505	1.505	2001
F	3	25.5	51	78.7512	X2001	1.433	1.433	2001
N	3	19	49	55.0077	X2001	1.453	1.453	2001
N	35	11.1	57	46.5744	X2001	0.313	0.313	2001
N	110	35	141	75.2227	X2001	0.34	0.34	2001
S	40	12.7	48	35.4506	X2001	0.486	0.486	2001
S	46	14.6	56	52.6239	X2001	0.885	0.885	2001
S	80	25.5	61	59.3595	X2001	1.185	1.185	2001
S	82	26.1	48	47.6494	X2001	1.228	1.228	2001
W	1	12.3	70	48.3875	X2001	0.878	0.878	2001
W	2	14.5	58	48.1658	X2001	1.35	1.35	2001
W	3	25.5	45	67.6176	X2001	2.008	2.008	2001
C	1	14	55	40.692	X2002	0.487	0.487	2002
C	1	20.7	51	54.9881	X2002	1.255	1.255	2002
C	1	27.2	55	83.3176	X2002	1.667	1.667	2002
C	2	10.6	54	38.1425	X2002	0.804	0.804	2002
C	2	14.7	56	51.6265	X2002	0.974	0.974	2002
C	2	25.7	58	65.2647	X2002	1.396	1.396	2002
C	3	14	58	44.6249	X2002	0.698	0.698	2002
C	3	23.5	49	66.7462	X2002	0.924	0.924	2002
C	3	25.5	55	67.2356	X2002	0.829	0.829	2002
