TreeName	RingCount	PathLength	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938
04_02	67	45.7376	0.248	0.229	0.19	0.572	0.242	0.33	0.931	1.418	1.122	1.143	0.572	0.689	0.581	0.91	0.847	0.847	0.656	0.529	0.762	0.698	0.614	0.487	0.466	0.339	0.529	0.466	0.55	0.677	0.634	0.721	0.656	0.635	0.635	0.487	0.381	0.423	0.508	0.445	0.508	0.698	0.783	0.741	0.825	0.825	0.741	0.762	0.868	0.762	0.508	0.529	0.55	0.402	0.445	0.36	0.402	0.445	0.466	0.487	0.381	0.72	0.656	0.952	1.312	1.191	1.593	1.618	1.291																		
04_03	68	42.7064	0.21	0.18	0.194	0.419	0.275	0.169	0.762	1.333	1.016	0.889	0.593	0.762	0.635	0.847	0.889	0.762	0.614	0.508	0.614	0.635	0.572	0.508	0.381	0.318	0.444	0.381	0.508	0.593	0.698	0.55	0.487	0.508	0.529	0.381	0.36	0.339	0.444	0.445	0.444	0.572	0.55	0.614	0.847	0.868	0.91	0.741	0.741	0.635	0.487	0.317	0.127	0.487	0.423	0.402	0.339	0.423	0.423	0.466	0.593	0.487	0.974	0.783	0.868	1.46	1.333	1.397	1.799	0.995																	
04_04	66	42.3979	0.288	0.18	0.18	0.361	0.175	0.189	0.966	1.25	1.037	0.931	0.466	0.656	0.804	0.741	0.635	0.741	0.572	0.508	0.699	0.508	0.487	0.487	0.339	0.318	0.402	0.318	0.339	0.572	0.529	0.423	0.402	0.508	0.525	0.406	0.487	0.402	0.466	0.572	0.529	0.699	0.656	0.677	0.974	1.1	0.931	0.804	0.847	0.762	0.55	0.55	0.593	0.614	0.466	0.423	0.444	0.55	0.55	0.593	0.444	0.931	0.792	0.986	1.185	1.271	1.366	1.829																			
05_01	73	95.2050	1.434	1.409	0.931	1.185	0.968	1.607	2.314	2.335	1.687	1.271	2.276	2.822	2.86	3.492	2.441	2.296	1.761	1.778	2.031	1.61	1.947	1.565	1.584	1.829	1.726	1.451	1.07	1.126	1.406	1.43	1.03	1.148	1.231	0.948	0.617	0.974	0.641	0.52	0.539	0.692	0.889	0.889	0.889	0.931	0.952	1.037	1.397	1.164	1.312	1.239	1.206	1.193	0.68	0.635	0.804	0.732	0.538	0.508	0.55	0.762	0.72	0.635	0.445	0.529	0.677	0.932	1.145	1.084	1.534	2.287	2.11	0.93	0.265												
05_02	72	89.3796	2.835	2.549	1.785	1.406	1.531	0.944	0.537	0.452	0.34	0.435	0.44	0.454	0.451	0.39	0.375	0.601	0.729	0.604	0.687	1.089	1.006	1.186	1.034	1.134	1.075	0.897	0.902	0.901	0.739	0.78	0.775	0.522	0.451	0.599	0.704	0.698	0.483	0.845	1.155	1.208	1.118	1.061	1.205	0.977	1.166	1.1	1.667	1.426	1.853	1.56	1.914	1.51	2.153	1.74	1.68	2.828	2.872	2.568	2.628	2.552	2.171	1.003	1.499	2.373	2.179	1.943	0.885	0.909	0.614	0.845	1.318	0.995													
05_03	73	89.1033	1.511	1.333	0.855	1.545	1.198	1.916	1.545	2.03	1.653	0.94	1.867	2.269	2.295	2.32	2.142	1.778	1.084	1.774	2.102	1.505	2.316	1.528	1.376	1.397	1.185	0.988	0.917	0.868	1.249	0.762	1.079	0.868	1.069	0.785	0.529	0.686	0.47	0.44	0.529	0.529	0.72	0.889	0.741	0.762	0.889	0.91	1.503	1.312	1.439	1.27	1.058	0.995	0.783	0.698	1.058	0.783	0.529	0.487	0.656	0.72	0.804	0.698	0.656	0.72	0.72	0.974	1.482	1.592	2.053	2.494	2.821	0.872	0.773												
05_04	76	96.9228	0.846	0.996	0.867	0.741	1.052	0.747	1.712	2.521	2.271	1.899	1.397	1.739	2.981	2.54	2.858	1.863	1.884	1.503	1.775	1.947	1.591	2.18	1.524	1.672	1.799	1.63	1.016	1.143	1.228	1.439	1.249	1.037	1.355	1.27	0.868	0.656	0.804	0.783	0.55	0.508	0.656	0.91	0.995	0.889	1.037	1.143	1.249	1.418	1.503	1.524	1.27	1.185	1.185	0.995	0.593	0.889	0.762	0.423	0.487	0.572	0.677	0.889	0.614	0.508	0.741	0.847	1.122	1.037	1.185	1.614	0.088	2.501	2.247	2.371	2.005	0.033									
06_01	82	154.5861	2.773	2.039	1.52	2.328	2.392	3.17	4.048	4.022	2.921	2.604	3.217	4.53	4.53	4.36	2.35	2.138	1.715	2.223	2.688	2.752	3.323	2.265	1.715	1.461	1.122	1.143	1.058	1.122	1.46	1.736	1.355	1.609	1.947	1.08	0.931	1.058	1.291	1.037	1.058	1.079	1.185	1.122	1.355	1.82	1.333	1.376	1.482	2.032	2.292	2.068	1.99	1.46	1.037	1.08	1.016	1.122	0.91	1.143	1.27	1.185	0.847	1.101	1.122	1.672	1.101	1.736	1.672	1.587	1.757	1.651	1.587	1.693	2.18	1.884	1.623	2.356	2.519	2.096	2.074	2.709	1.679	0.84			
06_02	85	148.7914	3.073	1.863	1.207	1.939	1.786	2.688	2.709	3.103	2.757	3.002	3.914	4.237	4.105	3.932	2.594	2.076	1.486	2.262	2.745	2.649	2.335	2.349	1.984	1.828	1.273	1.172	1.036	1.294	1.532	1.496	1.392	1.754	1.474	1.14	1.204	1.214	1.078	0.996	0.825	0.837	1.038	1.427	1.514	1.494	1.6	1.573	1.895	1.885	1.229	1.268	1.461	1.334	1.058	0.914	0.991	1.101	0.91	0.995	1.037	0.804	1.101	1.101	0.91	1.164	1.439	1.312	1.228	1.228	1.503	1.122	1.355	1.101	1.185	1.101	1.185	1.482	2.032	1.969	2.498	3.471	1.548	1.88	1.597	2.447	0.572
06_03	85	159.5721	1.612	2.449	1.527	2.159	2.358	3.828	3.212	3.756	3.103	2.893	3.45	4.03	4.009	4.014	2.558	2.011	2.159	2.731	2.979	2.525	3.196	2.159	2.201	1.863	1.439	1.461	1.27	0.847	1.206	1.736	1.63	1.776	2.034	1.058	0.847	1.312	1.206	1.143	1.249	1.101	1.058	0.931	1.312	1.588	1.418	1.65	1.568	1.486	1.689	1.333	1.566	1.312	0.762	1.185	0.931	0.974	0.635	1.058	1.249	0.995	0.995	0.975	0.929	1.398	1.228	1.503	1.333	1.291	1.524	1.503	1.545	1.588	2.309	2.051	1.179	2.314	2.709	2.392	2.656	3.503	1.566	2.032	1.539	1.198	1.01
