Snr	disk	path	wd	year	rwd
9	3	1	1.902	2001	0.0357303877366997
9	3	2	1.802	2001	0.0321160598121513
9	3	3	1.642	2001	0.0320772040868155
9	3	4	1.711	2001	0.03162194130258
10	2	1	1.359	1988	0.0275234931950745
10	2	2	1.073	1988	0.0219458818235739
10	2	3	1.159	1988	0.0220003416791633
10	2	4	1.077	1988	0.0225966178506987
11	3	1	2.564	1989	0.0423815663327713
11	3	2	2.233	1989	0.0360486891385768
11	3	3	1.869	1989	0.0380403810144102
11	3	4	2.351	1989	0.0363251494878015
12	3	1	2.825	1993	0.0424971793907484
12	3	2	2.79	1993	0.044630002879355
12	3	3	2.857	1993	0.0466723298591825
12	3	4	2.787	1993	0.0447667694680031
1	3	1	0.794	1992	0.0263332448925444
1	3	2	0.758	1992	0.0226742446903978
1	3	3	0.793	1992	0.0241672507847499
1	3	4	0.714	1992	0.0236588356141688
2	3	1	0.952	1997	0.0217634821571451
2	3	2	0.889	1997	0.0227592739561199
2	3	3	0.95	1997	0.0255816458423093
2	3	4	0.697	1997	0.0180935569285084
3	3	1	1.097	1994	0.0221669899773683
3	3	2	1.523	1994	0.0308555683867177
3	3	3	1.14	1994	0.0239134082899815
3	3	4	1.81	1994	0.0349744937393724
4	3	1	1.755	1990	0.0363248747774972
4	3	2	2.222	1990	0.0451020988105387
4	3	3	1.326	1990	0.028397652803358
4	3	4	1.267	1990	0.0270952289300913
5	2	1	1.49	1990	0.0338182891123267
5	2	2	2.107	1990	0.0312282313883002
5	2	3	2.213	1990	0.0389866638479291
5	2	4	1.639	1990	0.032344641130385
6	3	1	1.742	1995	0.0272157732747981
6	3	2	1.641	1995	0.0272895082566977
6	3	3	1.936	1995	0.032097087056717
6	3	4	1.551	1995	0.0248009210400077
7	3	1	1.143	1997	0.0295264911782181
7	3	2	1.173	1997	0.0323389942655492
7	3	3	1.175	1997	0.0301746276322548
7	3	4	1.143	1997	0.0303658244998805
8	4	1	1.967	2002	0.042338405906283
8	4	2	1.705	2002	0.038809979058545
8	4	3	1.774	2002	0.0372188653910708
8	4	4	1.714	2002	0.0408708300546057
9	3	1	1.745	2002	0.0327810339645326
9	3	2	2.084	2002	0.0371419914808676
9	3	3	1.581	2002	0.0308855418156244
9	3	4	1.841	2002	0.0340245435055814
10	2	1	1.515	1989	0.0306829228775113
10	2	2	1.298	1989	0.0265477675740904
10	2	3	1.57	1989	0.0298020159070633
10	2	4	1.518	1989	0.0318492719566951
11	3	1	2.748	1990	0.0454229891897253
11	3	2	2.29	1990	0.0369688751130053
11	3	3	1.958	1990	0.0398518277293821
11	3	4	2.568	1990	0.0396780025030516
12	3	1	3.393	1994	0.0510417450169237
12	3	2	3.132	1994	0.0501007774258566
12	3	3	3.238	1994	0.052896396249224
12	3	4	3.2	1994	0.0514006682086867
1	3	1	0.73	1993	0.0242106659591404
1	3	2	0.711	1993	0.0212683218665869
1	3	3	0.651	1993	0.0198396976807972
1	3	4	0.619	1993	0.0205109513237682
2	3	1	1.015	1998	0.023203712594015
2	3	2	1.175	1998	0.0300811551163565
2	3	3	0.984	1998	0.0264971994829815
2	3	4	0.919	1998	0.0238564975857951
3	3	1	1.048	1995	0.0211768509537666
3	3	2	1.491	1995	0.0302072570351911
3	3	3	1.204	1995	0.0252559154220507
3	3	4	1.905	1995	0.0368101715875715
4	3	1	1.533	1991	0.0317299333526514
4	3	2	1.745	1991	0.0354199650874843
4	3	3	1.104	1991	0.0236432946417099
4	3	4	1.204	1991	0.0257479523534569
5	2	1	1.864	1991	0.042306906647904
5	2	2	2.353	1991	0.0348742422670481
5	2	3	2.224	1991	0.0391804520550359
5	2	4	1.797	1991	0.0354626724291043
6	3	1	1.8	1996	0.0281219241645445
6	3	2	1.412	1996	0.0234812831556716
6	3	3	1.57	1996	0.0260291460119038
