plot	rep	nr	year	d	h	lc	bc	h.1	d.1	bc.1	lc.1
2	2	15	2005	0.1595	14.5062137001009	6.86125565327408	7.64495804682678	NA	NA	NA	NA
2	2	16	2005	0.112	12.1622858053078	5.42826972215694	6.73401608315084	NA	NA	NA	NA
2	2	17	2005	0.1225	12.7685098212882	5.77410887973924	6.99440094154899	NA	NA	NA	NA
2	2	18	2005	0.159	14.4861379890194	6.84769368538728	7.63844430363212	NA	NA	NA	NA
2	2	19	2005	0.1735	15.0374516744373	7.23071725534085	7.80673441909649	NA	NA	NA	NA
2	2	20	2005	0.153	14.2388156039816	6.68281893755491	7.5559966664267	NA	NA	NA	NA
2	2	21	2005	0.1685	14.8543265569973	7.10096439879552	7.75336215820177	NA	NA	NA	NA
2	2	22	2005	0.169	14.8729574857674	7.11404572533223	7.75891176043516	NA	NA	NA	NA
2	2	23	2005	0.187	15.498782215138	7.57001487219244	7.92876734294557	NA	NA	NA	NA
2	2	24	2005	0.1875	15.5150026478545	7.58229258370709	7.93271006414744	NA	NA	NA	NA
2	2	25	2005	0.155	14.3225951958985	6.73822190256567	7.58437329333281	NA	NA	NA	NA
2	2	26	2005	0.169	14.8729574857674	7.11404572533223	7.75891176043516	NA	NA	NA	NA
2	2	27	2005	0.175	15.0910397409749	7.26919356759368	7.82184617338127	NA	NA	NA	NA
2	2	28	2005	0.2075	16.1187994974523	8.05836103782181	8.06043845963045	NA	NA	NA	NA
2	2	29	2005	0.2025	15.9756556075521	7.94195298153776	8.03370262601438	NA	NA	NA	NA
2	2	30	2005	0.1385	13.5879660617248	6.26673619717503	7.32122986454982	NA	NA	NA	NA
2	2	31	2005	0.1505	14.1321449144064	6.61291911252073	7.51922580188568	NA	NA	NA	NA
2	2	32	2005	0.167	14.7979988106057	7.06157561585731	7.73642319474838	NA	NA	NA	NA
2	2	33	2005	0.1495	14.0888579146188	6.58475384956248	7.50410406505629	NA	NA	NA	NA
2	2	34	2005	0.163	14.6445286601548	6.95545298662709	7.6890756735277	NA	NA	NA	NA
2	2	35	2005	0.138	13.5640651869575	6.25190559817824	7.3121595887793	NA	NA	NA	NA
2	2	36	2005	0.164	14.6833487420797	6.98213421396349	7.70121452811622	NA	NA	NA	NA
2	2	37	2005	0.163	14.6445286601548	6.95545298662709	7.6890756735277	NA	NA	NA	NA
2	2	38	2005	0.1235	12.8232359978112	5.8060560985435	7.01717989926774	NA	NA	NA	NA
2	2	39	2005	0.1495	14.0888579146188	6.58475384956248	7.50410406505629	NA	NA	NA	NA
2	2	40	2005	0.14	13.6590546029702	6.31102477415175	7.34802982881842	NA	NA	NA	NA
2	2	41	2005	0.1765	15.1440231570474	7.30746837332755	7.83655478371988	NA	NA	NA	NA
2	2	42	2005	0.173	15.0194528793255	7.21784646678035	7.80160641254512	NA	NA	NA	NA
2	2	43	2005	0.19	15.5952306374371	7.64338929660712	7.95184134083	NA	NA	NA	NA
2	2	44	2005	0.11	12.0398810433493	5.36011916371325	6.67976187963609	NA	NA	NA	NA
2	2	45	2005	0.1345	13.3938278720553	6.14712184610125	7.24670602595406	NA	NA	NA	NA
2	2	46	2005	0.182	15.3332801733157	7.44613718003408	7.88714299328158	NA	NA	NA	NA
2	2	47	2005	0.208	16.1328471416282	8.06991261353963	8.06293452808855	NA	NA	NA	NA
2	2	48	2005	0.148	14.0232512634856	6.54228164285294	7.48096962063264	NA	NA	NA	NA
2	2	49	2005	0.1975	15.8274867154484	7.82386459911246	8.00362211633595	NA	NA	NA	NA
2	2	50	2005	0.1725	15.0013854010213	7.20495279555599	7.79643260546532	NA	NA	NA	NA
2	2	51	2005	0.194	15.7206383351072	7.74015653064369	7.98048180446351	NA	NA	NA	NA
2	2	52	2005	0.125	12.9043973930179	5.85367124467261	7.0507261483453	NA	NA	NA	NA
2	2	53	2005	0.143	13.7985239067706	6.39870546172549	7.39981844504512	NA	NA	NA	NA
2	2	54	2005	0.123	12.795935293753	5.79010303660717	7.00583225714588	NA	NA	NA	NA
2	2	55	2005	0.1625	14.6250035383069	6.94207409313311	7.68292944517375	NA	NA	NA	NA
2	2	56	2005	0.1735	15.0374516744373	7.23071725534085	7.80673441909649	NA	NA	NA	NA
2	2	57	2005	0.1715	14.9650428638849	7.17909630204212	7.78594656184282	NA	NA	NA	NA
