Snr	trt	year	age	wd	wde	wdl	swg	wge	wgl	ba	bai	baie	bail
3	F	1999	62	0.965	0.615	0.35	388.812374560612	317.318519214135	514.889710761491	24800.7455710687	535.796349415068	340.78983942511	195.006509989958
3	F	2000	63	1.09	0.765	0.325	368.724806865645	322.398676202929	488.296802698587	25412.9826031522	612.2370320835	428.90821468602	183.32881739748
3	F	2001	64	1.115	0.775	0.34	370.083037868696	311.004810438893	498.459184263096	26046.9856101573	634.003007005176	439.846926146558	194.156080858618
3	F	2002	65	1.14	0.75	0.39	378.770026475288	308.311934011465	511.438645181567	26703.2800234555	656.294413298179	430.853724476576	225.440688821604
3	F	2003	66	0.93	0.61	0.32	386.542971599961	315.923012785507	518.122623382891	27244.7259774794	541.445954023835	354.528730957609	186.917223066226
3	F	2004	67	1.125	0.835	0.29	373.444750351548	324.872598342199	512.98428300804	27906.963891379	662.237913899688	490.766959433364	171.470954466324
3	F	2005	68	1.225	0.77	0.455	391.837747277532	316.448867754713	519.206302499261	28637.1112574769	730.147366097841	457.849115989604	272.298250108237
3	F	2006	69	1.04	0.775	0.265	367.06955806075	309.022753443762	536.150450930526	29264.3918059821	627.280548505223	466.799434919874	160.481113585349
3	F	2007	70	1.25	0.935	0.315	351.308020544704	307.406880248454	480.463540847951	30027.3275819064	762.935775924278	569.750682815065	193.185093109212
3	F	2008	71	1.725	1.285	0.44	332.94097705009	296.455975796117	437.956949743465	31096.301213481	1068.97363157465	794.531637179411	274.441994395238
3	F	2009	72	2.655	2.1	0.555	322.872697326881	290.959781202691	445.075575694383	32778.124330627	1681.82311714597	1326.59404664605	355.229070499914
3	F	2010	73	2.925	2.04	0.885	324.570163090089	289.483422066996	405.420757679824	34682.2558116393	1904.1314810123	1322.33781691897	581.793664093326
3	F	2011	74	2.855	2.13	0.725	321.453401913731	289.249526576178	417.480641434196	36592.6605819419	1910.40477030264	1420.42430859009	489.980461712548
3	F	2012	75	2.255	1.68	0.575	320.084269139544	284.331336523323	423.658368743151	38137.7799651207	1545.11938317876	1148.09629189146	397.023091287301
3	F	2013	76	1.29	1.005	0.285	337.546880451106	290.890283831999	500.58206776986	39036.0508401726	898.270875051952	698.915851050711	199.355024001241
3	F	2014	77	1.525	1.155	0.37	349.006959475478	301.706882494799	493.791905196328	40111.4466725294	1075.39583235676	813.137562590666	262.258269766091
3	F	2015	78	1.825	1.295	0.53	357.964291218622	302.420709055314	488.521310227179	41417.6026954684	1306.15602293905	924.67776772115	381.478255217895
