plot	rep	nr	year	d	hm	hm.se	dm	yr
2	2	4	2011	0.181	17.2466607851714	0.0930086298612278	0.2065	6
2	2	4	2012	0.181	17.6130951868325	0.101347578207429	0.210815278809284	7
2	2	4	2013	0.181	17.9807616238433	0.106470683590138	0.213743836705686	8
2	2	4	2014	0.181	18.317515359534	0.116435368290819	0.217491941403044	9
2	2	4	2015	0.181	18.6928410595338	0.118937553722769	0.221457966176032	10
2	2	4	2016	0.181	18.98365440791	0.120661471258998	0.225159311967101	11
2	2	4	2017	0.181	19.3318304030705	0.123129442143459	0.228491903169457	12
2	2	4	2018	0.181	19.6	0.126193330125223	0.2315	13
2	2	11	2005	0.201	16.9	0	0.201	0
2	2	11	2006	0.201	17.1740701132595	0.0203737245637672	0.203086867468275	1
2	2	11	2007	0.201	17.4297369609215	0.0252048412752633	0.205413157583653	2
2	2	11	2008	0.201	17.7048898672142	0.0286498208496639	0.208196356937747	3
2	2	11	2009	0.201	18.0284410024592	0.0318909003621586	0.211439738017689	4
2	2	11	2010	0.201	18.3271019894427	0.0337677604184922	0.215100663478713	5
2	2	11	2011	0.201	18.6149520521189	0.037862413286204	0.2185	6
2	2	11	2012	0.201	18.9	0.0410351609883518	0.221560767048916	7
2	2	12	2005	0.226	17	0	0.226	0
2	2	12	2006	0.226	17.1507385622927	0.011205548510072	0.228139835343391	1
2	2	12	2007	0.226	17.2913553285068	0.0138626627013949	0.230527418885035	2
2	2	12	2008	0.226	17.4426894269678	0.0157574014673152	0.233386966582299	3
2	2	12	2009	0.226	17.6206425513526	0.0175399951991872	0.236723315132915	4
2	2	12	2010	0.226	17.7849060941935	0.0185722682301708	0.240494129026601	5
2	2	12	2011	0.226	17.9432236286654	0.0208243273074123	0.244	6
2	2	12	2012	0.226	18.1	0.0225693385435935	0.249363167427242	7
2	2	15	2009	0.1755	15.6	0	0.172743437816824	4
2	2	15	2010	0.1755	15.9852828113943	0.0144104833479636	0.17730206010377	5
2	2	15	2011	0.1755	16.3822802969181	0.0337347053420571	0.1815	6
2	2	15	2012	0.1755	16.7274826540109	0.050376185332936	0.186301743698636	7
2	2	15	2013	0.1755	17.0738889371896	0.0583442913589413	0.189546033274473	8
2	2	15	2014	0.1755	17.3885214282559	0.0701788883212759	0.193682299674796	9
2	2	15	2015	0.1755	17.7435250540759	0.0744038490940816	0.19804073779099	10
2	2	15	2016	0.1755	18.0181353197217	0.0768533567011738	0.202092372690001	11
2	2	15	2017	0.1755	18.3469206293815	0.0802870841731666	0.205727962335066	12
2	2	15	2018	0.1755	18.6	0.0844758136746376	0.209	13
2	2	19	2005	0.1735	15.3	0	0.1735	0
2	2	19	2006	0.1735	15.568067500369	0.0342119062712712	0.176230630155286	1
2	2	19	2007	0.1735	15.8355291396163	0.0514279787598704	0.179257942730014	2
2	2	19	2008	0.1735	16.129242868722	0.0593859899370478	0.182858038799802	3
2	2	19	2009	0.1735	16.5016797894618	0.0722879906052928	0.187025131782154	4
2	2	19	2010	0.1735	16.8474154484365	0.0732984921837139	0.191694521937576	5
2	2	19	2011	0.1735	17.2047776222105	0.0788551427084322	0.196	6
2	2	19	2012	0.1735	17.5154502670971	0.0859251206541243	0.202266850570015	7
2	2	19	2013	0.1735	17.8271674636932	0.0902686230438126	0.206482699590363	8
2	2	19	2014	0.1735	18.1126760656919	0.0987169426813463	0.211837801051047	9
2	2	19	2015	0.1735	18.4308869852569	0.100838360764956	0.217458158491586	10
2	2	19	2016	0.1735	18.6774461284454	0.102299943023933	0.2226637791504	11
2	2	19	2017	0.1735	18.9726388199945	0.104392353121628	0.227320255161294	12
2	2	19	2018	0.1735	19.2	0.10698999728008	0.2315	13
2	2	28	2009	0.218	16.3	0	0.219147566745302	4
2	2	28	2010	0.218	16.6595972906347	0.0134497844580993	0.223221563001391	5
2	2	28	2011	0.218	17.0301282771236	0.0314857249859199	0.227	6
2	2	28	2012	0.218	17.3523171437435	0.0470177729774069	0.231566630204455	7
2	2	28	2013	0.218	17.6756296747103	0.0544546719350118	0.234667709513356	8
2	2	28	2014	0.218	17.9692866663722	0.0655002957665242	0.238638794426901	9
2	2	28	2015	0.218	18.3006233838042	0.0694435924878095	0.242843304393696	10
2	2	28	2016	0.218	18.5569262984069	0.0717297995877622	0.246769460786854	11
2	2	28	2017	0.218	18.8637925874227	0.0749346118949555	0.250306230182519	12
2	2	28	2018	0.218	19.1	0.078844092762995	0.2535	13
2	2	29	2009	0.2145	18.3	0	0.219356271083143	4
2	2	29	2010	0.2145	18.6852828113944	0.0144104833479635	0.225157786804628	5
2	2	29	2011	0.2145	19.0822802969181	0.0337347053420571	0.2305	6
2	2	29	2012	0.2145	19.4274826540109	0.050376185332936	0.235424263179875	7
2	2	29	2013	0.2145	19.7738889371896	0.0583442913589412	0.238764858240885	8
2	2	29	2014	0.2145	20.0885214282559	0.0701788883212759	0.243038909675101	9
