Snr	year	d	h	dd	dh	ba	bai	plot
10	2016	0.20164	21.01	0.00246	0.15	0.0319332601379869	0.000774416097958296	3
10	2017	0.20337	21.19	0.00173	0.18	0.0324835629485596	0.000550302810572644	3
10	2018	0.20584	21.36	0.00247	0.17	0.0332774031211959	0.000793840172636359	3
11	2002	0.11519	10.93	0.00128	0.26	0.0104212409635454	0.000230316440619976	3
11	2003	0.11625	11.33	0.00106	0.4	0.0106139198675383	0.000192678903992906	3
11	2004	0.11767	11.73	0.00142	0.4	0.0108748027480407	0.000260882880502342	3
11	2005	0.11925	12.14	0.00158	0.41	0.0111688036699786	0.000294000921937955	3
11	2006	0.12046	12.62	0.00121	0.48	0.0113966077004137	0.000227804030435082	3
11	2007	0.12187	12.97	0.00141	0.35	0.0116649667074936	0.000268359007079905	3
11	2008	0.12287	13.39	0.001	0.42	0.0118571850540035	0.000192218346509891	3
11	2009	0.12371	13.8	0.00084	0.41	0.0120198623764732	0.000162677322469657	3
11	2010	0.12461	14.25	9e-04	0.45	0.0121953894412145	0.000175527064741369	3
11	2011	0.12587	14.61	0.00126	0.36	0.0124432648714939	0.00024787543027942	3
11	2012	0.12716	14.93	0.00129	0.32	0.0126996256649909	0.00025636079349695	3
11	2013	0.12808	15.36	0.00092	0.43	0.0128840534900384	0.000184427825047516	3
11	2014	0.12942	15.73	0.00134	0.37	0.0131550551263187	0.000271001636280293	3
11	2015	0.13097	16.01	0.00155	0.28	0.0134720453593577	0.000316990233038945	3
11	2016	0.13273	16.23	0.00176	0.22	0.0138365580717684	0.000364512712410715	3
11	2017	0.13422	16.48	0.00149	0.25	0.0141489545109496	0.000312396439181237	3
11	2018	0.13589	16.68	0.00167	0.2	0.0145032348204681	0.000354280309518525	3
12	2002	0.13613	12.025	0.00235	0.315	0.0145545093824859	0.000498169022964121	3
12	2003	0.13799	12.36	0.00186	0.335	0.0149549550033498	0.000400445620863949	3
12	2004	0.14057	12.76	0.00258	0.4	0.0155194087253315	0.000564453721981665	3
12	2005	0.14278	13.04	0.00221	0.28	0.0160112278041446	0.000491819078813056	3
12	2006	0.14464	13.335	0.00186	0.295	0.0164311026047746	0.000419874800630074	3
12	2007	0.14625	13.655	0.00161	0.32	0.0167989304042932	0.000367827799518607	3
12	2008	0.14771	13.865	0.00146	0.21	0.0171360088446972	0.000337078440403977	3
12	2009	0.14934	14.135	0.00163	0.27	0.0175162919595299	0.000380283114832655	3
12	2010	0.15085	14.495	0.00151	0.36	0.017872302658282	0.000356010698752121	3
12	2011	0.15258	14.685	0.00173	0.19	0.0182845847792471	0.000412282120965057	3
12	2012	0.15421	14.945	0.00163	0.26	0.0186773370324014	0.000392752253154384	3
12	2013	0.15538	15.215	0.00117	0.27	0.0189618241907667	0.000284487158365271	3
12	2014	0.15681	15.515	0.00143	0.3	0.0193124508280291	0.000350626637262401	3
12	2015	0.1586	15.845	0.00179	0.33	0.0197558739861729	0.000443423158143767	3
12	2016	0.16051	16.08	0.00191	0.235	0.0202345742453034	0.000478700259130561	3
12	2017	0.16185	16.38	0.00134	0.3	0.0205738367209202	0.000339262475616757	3
12	2018	0.16307	16.58	0.00122	0.2	0.0208851704378465	0.00031133371692634	3
2	2002	0.09565	10.975	0.00223	0.16	0.00718554692856559	0.000331144364580428	2
2	2003	0.09757	11.125	0.00192	0.15	0.00747691582417837	0.000291368895612778	2
2	2004	0.09941	11.45	0.00184	0.325	0.00776157804779426	0.000284662223615895	2
2	2005	0.10117	11.65	0.00176	0.2	0.00803883993575536	0.000277261887961098	2
2	2006	0.1029	11.89	0.00173	0.24	0.00831611776729918	0.000277277831543815	2
2	2007	0.10436	12.145	0.00146	0.255	0.00855377893738398	0.000237661170084803	2
2	2008	0.10588	12.345	0.00152	0.2	0.00880476454439045	0.000250985607006471	2
2	2009	0.10776	12.885	0.00188	0.54	0.00912021437601153	0.000315449831621076	2
2	2010	0.10982	13.245	0.00206	0.36	0.00947224145673908	0.000352027080727554	2
2	2011	0.11237	13.61	0.00255	0.365	0.00991723588244854	0.000444994425709461	2
2	2012	0.11534	14.01	0.00297	0.4	0.0104483996393366	0.000531163756888081	2
2	2013	0.11673	14.43	0.00139	0.42	0.0107017512583103	0.000253351618973707	2
2	2014	0.1203	14.78	0.00357	0.35	0.0113663529065226	0.000664601648212249	2
2	2015	0.12369	15.01	0.00339	0.23	0.0120159762263607	0.000649623319838094	2
2	2016	0.12682	15.2	0.00313	0.19	0.0126318040203074	0.000615827793946735	2
2	2017	0.12985	15.435	0.00303	0.235	0.0132426161045031	0.000610812084195642	2
2	2018	0.13282	15.6	0.00297	0.165	0.0138553286951745	0.000612712590671435	2
3	2002	0.18439	15.525	0.00228	0.27	0.0267032800234555	0.000656294413298179	2
3	2003	0.18625	15.765	0.00186	0.24	0.0272447259774794	0.000541445954023835	2
3	2004	0.1885	16.065	0.00225	0.3	0.027906963891379	0.000662237913899688	2
3	2005	0.19095	16.255	0.00245	0.19	0.0286371112574769	0.000730147366097841	2
3	2006	0.19303	16.575	0.00208	0.32	0.0292643918059821	0.000627280548505223	2
3	2007	0.19553	16.77	0.0025	0.195	0.0300273275819064	0.000762935775924278	2
3	2008	0.19898	17.06	0.00345	0.29	0.031096301213481	0.00106897363157465	2
3	2009	0.20429	17.48	0.00531	0.42	0.032778124330627	0.00168182311714597	2
3	2010	0.21014	17.82	0.00585	0.34	0.0346822558116393	0.0019041314810123	2
3	2011	0.21585	18.03	0.00571	0.21	0.0365926605819419	0.00191040477030264	2
3	2012	0.22036	18.24	0.00451	0.21	0.0381377799651207	0.00154511938317876	2
3	2013	0.22294	18.44	0.00258	0.2	0.0390360508401726	0.000898270875051952	2
3	2014	0.22599	18.74	0.00305	0.3	0.0401114466725294	0.00107539583235676	2
3	2015	0.22964	19.07	0.00365	0.33	0.0414176026954684	0.00130615602293905	2
3	2016	0.23358	19.34	0.00394	0.27	0.0428510225162294	0.00143341982076093	2
3	2017	0.23673	19.64	0.00315	0.3	0.0440145714384459	0.00116354892221648	2
