yta	avd	rev	år	mån	dag	nr	t_l	beha	p_kod	hojd	krong	b1	b2	dia	dia6m1	dia6m2	b6m1	b6m2	rc1	rc2
1471	31	10	2016	5	6	22	1	1	1	188	100	32	26	215.429802952145	0	0	0	0	0	0
1471	31	10	2016	5	6	24	1	1	1	189	101	20	22	190.905735901256	0	0	0	0	0	0
1471	31	10	2016	5	6	36	1	1	1	190	111	14	16	153.499185665592	0	0	0	0	0	0
1471	31	10	2016	5	6	41	1	1	1	176	106	12	10	146	0	0	0	0	0	0
1471	31	10	2016	5	6	43	1	1	1	182	90	28	39	229.823845586136	0	0	0	0	0	0
1471	31	10	2016	5	6	44	1	1	1	164	110	18	16	130.996183150503	0	0	0	0	0	0
1471	31	10	2016	5	6	55	1	1	1	171	93	17	16	156.403324772845	0	0	0	0	0	0
1471	31	10	2016	5	6	59	1	1	3	196	105	46	31	236.495243081124	0	0	0	0	0	0
1471	31	10	2016	5	6	61	1	1	1	197	94	20	26	187.499333332148	0	0	0	0	0	0
1471	31	10	2016	5	6	68	1	1	1	198	110	21	20	228.965062837106	0	0	0	0	0	0
1471	31	10	2016	5	6	74	1	1	1	184	107	32	26	214.494755180634	0	0	0	0	0	0
1471	31	10	2016	5	6	81	1	1	1	178	86	15	16	171.481777457548	0	0	0	0	0	0
1471	31	10	2016	5	6	82	1	1	3	209	85	28	24	255.998046867549	0	0	0	0	0	0
1471	31	10	2016	5	6	84	1	1	3	219	100	30	33	275.488656753776	0	0	0	0	0	0
1471	31	10	2016	5	6	87	1	1	3	202	104	28	30	233.997863238107	0	0	0	0	0	0
1471	31	11	2016	11	6	1	1	1	1	181	115	16	18	166.997005961185	0	0	0	0	0	0
1471	31	11	2016	11	6	3	1	1	1	190	111	20	20	197.909070029648	0	0	0	0	0	0
1471	31	11	2016	11	6	9	1	1	1	168	91	18	14	168.997041394221	0	0	0	0	0	0
1471	31	11	2016	11	6	17	1	1	1	184	99	26	21	200.977610693331	0	0	0	0	0	0
1471	31	11	2016	11	6	19	1	1	3	175	84	25	32	291.828716887149	0	0	0	0	0	0
1471	31	11	2016	11	6	22	1	1	1	190	100	20	28	217.370651192842	0	0	0	0	0	0
1471	31	11	2016	11	6	24	1	1	1	189	101	20	26	191.872353401943	0	0	0	0	0	0
1471	31	11	2016	11	6	36	1	1	1	190	111	14	14	154.996774159981	0	0	0	0	0	0
1471	31	11	2016	11	6	41	1	1	1	177	106	12	11	146.499146755194	0	0	0	0	0	0
1471	31	11	2016	11	6	42	1	1	1	181	99	12	14	155.996794838868	0	0	0	0	0	0
1471	31	11	2016	11	6	43	1	1	1	185	97	36	39	230.304146727757	0	0	0	0	0	0
1471	31	11	2016	11	6	44	1	1	1	165	110	14	14	131.491444588612	0	0	0	0	0	0
1471	31	11	2016	11	6	55	1	1	1	171	93	14	14	156.403324772845	0	0	0	0	0	0
1471	31	11	2016	11	6	59	1	1	3	200	124	28	25	238	0	0	0	0	0	0
1471	31	11	2016	11	6	61	1	1	1	197	102	20	26	188.494031735756	0	0	0	0	0	0
1471	31	11	2016	11	6	68	1	1	1	198	110	20	20	229.945645751338	0	0	0	0	0	0
1471	31	11	2016	11	6	81	1	1	1	178	86	12	16	171.98837169995	0	0	0	0	0	0
1471	31	11	2016	11	6	82	1	1	3	209	85	24	22	257.998062008225	0	0	0	0	0	0
1471	31	11	2016	11	6	84	1	1	3	219	100	28	34	276.477847213841	0	0	0	0	0	0
1471	31	11	2016	11	6	87	1	1	3	205	104	23	25	235.486729987063	0	0	0	0	0	0
1471	31	12	2019	4	18	1	1	1	1	186	115	22	22	171.99709299869	0	0	0	0	0	0
1471	31	12	2019	4	18	3	1	1	1	192	120	22	24	200.394610705977	0	0	0	0	0	0
1471	31	12	2019	4	18	9	1	1	1	174	102	22	22	172.499275360797	0	0	0	0	0	0
1471	31	12	2019	4	18	17	1	1	1	191	109	28	26	201.484490718268	0	0	0	0	0	0
1471	31	12	2019	4	18	19	1	1	3	178	86	46	50	294.862679903714	0	0	0	0	0	0
1471	31	12	2019	4	18	22	1	1	1	194	100	38	40	222.337581168816	0	0	0	0	0	0
1471	31	12	2019	4	18	24	1	1	1	193	101	30	32	195.35608513686	0	0	0	0	0	0
1471	31	12	2019	4	18	36	1	1	1	197	111	20	20	158.499211354505	0	0	0	0	0	0
1471	31	12	2019	4	18	41	1	1	1	180	110	14	14	148.499158246773	0	0	0	0	0	0
1471	31	12	2019	4	18	42	1	1	1	182	104	22	20	158.492902049272	0	0	0	0	0	0
1471	31	12	2019	4	18	43	1	1	1	188	99	50	50	231.825365307595	0	0	0	0	0	0
1471	31	12	2019	4	18	44	1	1	1	168	118	20	20	133.491572767722	0	0	0	0	0	0
1471	31	12	2019	4	18	51	1	1	3	190	91	38	36	241.966939890556	0	0	0	0	0	0
1471	31	12	2019	4	18	55	1	1	1	175	98	26	24	159.405144208084	0	0	0	0	0	0
1471	31	12	2019	4	18	59	1	1	3	206	124	30	30	239	0	0	0	0	0	0
1471	31	12	2019	4	18	61	1	1	1	201	102	26	24	191.989583050748	0	0	0	0	0	0
1471	31	12	2019	4	18	68	1	1	1	203	112	22	20	232.965662705902	0	0	0	0	0	0
1471	31	12	2019	4	18	81	1	1	1	181	86	22	22	173.988505367452	0	0	0	0	0	0
1471	31	12	2019	4	18	83	1	1	3	205	102	32	34	236.495243081124	0	0	0	0	0	0
1471	31	12	2019	4	18	84	1	1	3	224	100	40	38	280.971528806746	0	0	0	0	0	0
1471	32	1	2005	8	22	4	1	1	1	156	74	14	16	139.967853452141	0	0	0	0	0	0
1471	32	1	2005	8	22	12	1	1	1	179	91	18	18	182.975408183723	0	0	0	0	0	0
1471	32	1	2005	8	22	20	1	1	1	163	85	18	18	173.493515728975	0	0	0	0	0	0
1471	32	1	2005	8	22	28	1	1	1	177	87	20	18	175	0	0	0	0	0	0
1471	32	1	2005	8	22	32	1	1	3	180	86	20	20	261.495697861361	0	0	0	0	0	0
